Filepath,Label
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\02d09e872d.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\02f2e49039.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\06c639bab2.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\08b8f8efc1.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\09a37d7cc7.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\0cd70ffc10.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\0d09b0e580.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\0e84c2b7fd.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\10f608ecc4.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\12b1eb8026.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\13a2cfd13f.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\13d63deed2.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\14a2340ece.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\14d893495c.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\1a77e9cec2.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\1a9346fd1e.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\1d8712cb99.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\1fe5414330.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\2f6cc87911.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\3a38984b2b.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\3a804a31ab.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\3bfa35cec4.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\3c92b54e3f.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\3d7b2d49d0.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\3d959a621f.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\4a16219bba.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\4b4cdebe22.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\4ba54c8c49.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\4dc22aeaa4.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\4df2abf698.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\4e9dd787c7.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\5b3f7359b7.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\5f7df33e72.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\5f8b688ebc.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\5fc5acb884.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\6b51759dac.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\6b7aa00d7d.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\6fd85e0d12.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\7bc5fab65b.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\7d120ae799.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\7dd072e690.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\7e1919ccbf.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\8ac8bbff12.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\8b184989c0.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\8d63c56cdc.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\8e1361fc0a.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\8f0fce678c.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\9aa8de6d09.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\9d7f91c812.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\adhirasam\9fb6ec6325.jpg,adhirasam
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\aloo_gobi\00fce13f41.jpg,aloo_gobi
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\aloo_gobi\04f6621f19.jpg,aloo_gobi
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\aloo_gobi\07e76a41ce.jpg,aloo_gobi
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\aloo_gobi\08e086039e.jpg,aloo_gobi
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\aloo_gobi\08f5340905.jpg,aloo_gobi
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\aloo_gobi\0ab3a056ed.jpg,aloo_gobi
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\aloo_gobi\0ab91a93df.jpg,aloo_gobi
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\aloo_gobi\0b8b93a61c.jpg,aloo_gobi
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\aloo_gobi\0b97c99f59.jpg,aloo_gobi
C:\Users\Dell\OneDrive\Desktop\Indian Food\Indian Food Images\aloo_gobi\0bc22d7426.jpg,aloo_gobi
